"name","technology","fuel","nameplate_capacity_mw","status","planning_status","country","admin_division_level_1","date_commercial_operation","date_end_operation","geom_point","latitude","longitude","geom_area","website","note","pv_module_oem","pv_module_model","pv_module_type","pv_module_rating_w","pv_module_qty","inverter_oem","inverter_model","inverter_type","inverter_rating_w","inverter_qty","array_structure_oem","array_structure_model","array_structure_type"
Koberinga Solar Farm,Solar PV - Fixed,Solar - Solar,55.0,Development,,Australia,Queensland,,,POINT (147.5238786 -19.82776169),-19.82776169,147.5238786,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Kumbarilla Renewable Energy Park (K-REP),Solar PV - Single axis tracking,Solar - Solar,96.8,Development,,Australia,Queensland,,,POINT (150.9414 -27.25127),-27.25127,150.9414,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Lake Awoonga (Site B) Solar Farm - BESS,Storage - Battery,Solar - Solar,150.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Lake Awoonga (Site B) Solar Farm - Solar,Solar PV - Single axis tracking,Solar - Solar,420.0,Development,,Australia,Queensland,2027-01-10,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Lakeland Solar and Storage,Solar PV - Fixed,Solar - Solar,10.8,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Latitude Solar Farm,Solar PV - Fixed,Solar - Solar,5.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Latrobe Solar Farm,Solar PV - Single axis tracking,Solar - Solar,400.0,Development,,Australia,Victoria,,,POINT (144.3590996 -23.44661076),-23.44661076,144.3590996,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Lilyvale Solar Farm,Solar PV - Single axis tracking,Solar - Solar,118.4,Operational,,Australia,Queensland,2022-01-01,,POINT (148.43900084 -23.08747286),-23.08747286,148.4390008,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Limondale Solar Farm 1,Solar PV - Single axis tracking,Solar - Solar,230.0,Operational,,Australia,New South Wales,2022-01-12,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Limondale Solar Farm 2,Solar PV - Single axis tracking,Solar - Solar,28.98,Operational,,Australia,New South Wales,2023-01-04,,POINT (143.49422 -34.80568),-34.80568,143.49422,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Little River Solar Farm,Solar PV - Fixed,Solar - Solar,279.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Llewellyn Motors,Solar PV - Fixed,Solar - Solar,0.34,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
LMCC - Works Depot Power Station,Solar PV - Fixed,Solar - Solar,0.79,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Lockhart Hybrid Facility - Battery,Storage - Battery,Solar - Solar,10.0,Development,,Australia,New South Wales,2025-01-04,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Lockhart Hybrid Facility - Solar,Solar PV - Single axis tracking,Solar - Solar,10.0,Development,,Australia,New South Wales,2025-01-04,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Lockyer Valley Energy Project - BESS,Storage - Battery,Solar - Solar,400.0,Development,,Australia,Queensland,,,POINT (152.27634 -27.5359),-27.5359,152.27634,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Longreach Solar Farm,Solar PV - Fixed,Solar - Solar,14.0,Operational,,Australia,Queensland,,,POINT (144.35924 -23.44638),-23.44638,144.35924,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Lower Wonga Solar Farm,Solar PV - Fixed,Solar - Solar,300.0,Development,,Australia,Queensland,,,POINT (152.4497502 -26.09877951),-26.09877951,152.4497502,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Manildra Solar Farm,Solar PV - Single axis tracking,Solar - Solar,50.0,Operational,,Australia,New South Wales,2018-01-12,,POINT (148.718325548912 -33.1730321644393),-33.17303216,148.7183255,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),Solar PV - Single axis tracking,Solar - Solar,16.8,Operational,,Australia,South Australia,2022-01-05,,POINT (139.1642617 -34.8574032),-34.8574032,139.1642617,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),Solar PV - Single axis tracking,Solar - Solar,12.36,Operational,,Australia,South Australia,2023-01-01,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Mannum Solar Farm,Solar PV - Single axis tracking,Solar - Solar,4.95,Operational,,Australia,South Australia,2019-01-12,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Mannum Solar Farm 2,Solar PV - Single axis tracking,Solar - Solar,29.99,Development,,Australia,South Australia,2024-01-02,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Mansfield Solar Farm - Solar,Solar PV - Fixed,Solar - Solar,350.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Maryrorough Solar Farm,Solar PV - Single axis tracking,Solar - Solar,34.5,Operational,,Australia,Queensland,2021-01-03,,POINT (152.71709609 -25.54758801),-25.54758801,152.7170961,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Maryvale Solar Farm,Solar PV - Single axis tracking,Solar - Solar,125.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Mates Gully Solar Farm,Solar PV - Single axis tracking,Solar - Solar,,Development,,Australia,New South Wales,2027-01-06,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Matthew Flinders College Senior,Solar PV - Fixed,Solar - Solar,0.2,Development,,Australia,Queensland,2018-01-09,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Maules Creek Solar Farm,Solar PV - Fixed,Solar - Solar,,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Maxwell Downs Solar Farm,Solar PV - Single axis tracking,Solar - Solar,104.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Maxwell Solar Farm,Solar PV - Single axis tracking,Solar - Solar,25.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
McMahons Reef Solar Farm,Solar PV - Single axis tracking,Solar - Solar,123.2,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
McNamee Partners,Solar PV - Fixed,Solar - Solar,0.26,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Meadow Creek Solar Farm,Solar PV - Fixed,Solar - Solar,180.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Melbourne Solar Farm,Solar PV - Fixed,Solar - Solar,350.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Merino Solar Farm - Solar,Solar PV - Fixed,Solar - Solar,338.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Metz Solar Farm,Solar PV - Single axis tracking,Solar - Solar,135.0,Development,,Australia,New South Wales,2023-01-04,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Mica Creek Solar Farm,Solar PV - Single axis tracking,Solar - Solar,88.0,Development,,Australia,Queensland,,,POINT (150.822693 -27.14895222),-27.14895222,150.822693,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Middlebrook Solar Farm - Solar,Solar PV - Single axis tracking,Solar - Solar,319.98,Development,,Australia,Queensland,2027-01-12,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Middlemount Solar Farm,Solar PV - Single axis tracking,Solar - Solar,26.0,Operational,,Australia,Queensland,2021-01-07,,POINT (148.7137122 -22.8228624),-22.8228624,148.7137122,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Midland Highway Orrvale,Solar PV - Fixed,Solar - Solar,0.51,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Mildura Power Station,Solar PV - Single axis tracking,Solar - Solar,9.6,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Miles Solar Project,Solar PV - Fixed,Solar - Solar,500.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Moah Creek Solar Farm,Solar PV - Fixed,Solar - Solar,390.0,Development,,Australia,Queensland,,,POINT (150.156 -23.34),-23.34,150.156,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Moama Solar Farm,Solar PV - Single axis tracking,Solar - Solar,36.01,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
